,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
107,Zona 14,@Zona14fc,2021-09-02T22:58:26.000Z,"Victoria con suspenso de la ""Tri""
Un Ecuador deslucido y monótono que le costó quebrantar el bloque defensivo que propuso Paraguay
Cabezaso en el minuto 88 de Félix Torres y golazo de Michael Estrada en el 95' que ponen a Ecuador segundo en la tabla de posiciones.",,😬 💥 ⚽,,,1,['https://pbs.twimg.com/media/E-ULxltVQCM7SWk?format=jpg&name=small'],https://twitter.com/Zona14fc/status/1433565005488672772
108,Jossue Villalta 10,@jossue_villalta,2021-09-02T23:08:49.000Z,Y AHORAAAAAA? Y AHORAAAAAA? Que dirán? GRACIAS BYRON CASTILLO POR DEMOSTRAR LOS HUEVOS DE UN ECUATORIANO! POR SUDAR LA CAMISETA ! SOLO TÚ SABES CUANTO LLORASTE Y BATALLASTE ! TE MERECES ESO Y MUCHO MÁS ! #LaTri #EcuadorVsParaguay #EliminatoriasQatar2022 #Ecuador,,,,2,8,['https://pbs.twimg.com/media/E-UOJlxWUAAvW1Z?format=jpg&name=medium'],https://twitter.com/jossue_villalta/status/1433567621182525442
109,Bruh,@IronSua,2021-09-02T21:13:48.000Z,"Ecuador juega con linea de 3 atras. Leon, Arreaga y Torres. Primer partido de Eliminatorias que sale del esquema 442. Saludos para Pipa  
@Grillodelgol
  #ClasificatoriasXCHV",,,,,,[],https://twitter.com/IronSua/status/1433538672964497410
110,vissionalien,@vissionalien,2021-09-02T21:09:43.000Z,"#Nacional El Ecuador de Lasso 

#GobiernoDelEncuentro #Pachakutik #AsambleaNacional #GuillermoLasso",,🚨 🚨,,,,['https://pbs.twimg.com/media/E-Ty39EVgAMD3nl?format=jpg&name=small'],https://twitter.com/vissionalien/status/1433537647935299585
111,Gol de Oro,@GoldeororadioOK,2021-09-02T20:07:46.000Z,"#EliminatoriasQatar2022 | CINCO BAJAS PARA ENFRENTAR A ECUADOR.

El seleccionado de Paraguay, tiene cinco bajas para enfrentar esta tarde a Ecuador, en Quito: Gustavo Gómez (Suspendido), Piris Da Motta, Ángel Cardozo Lucena (Molestía), Andrés Cubas, y Omar Alderete (Suspendido).",,,1,2,3,['https://pbs.twimg.com/media/E-TkqsCVcAcAUMo?format=jpg&name=small'],https://twitter.com/GoldeororadioOK/status/1433522058143621123
112,Ernesto Fuentes,@Efuentesec,2021-09-02T22:55:31.000Z,"No hablaron de la Banca, créditos, baja de tasas, del desempleo, de la reactivación post pandemia, de medidas apoyo EMERGENTE para evitar quiebra de Mipymes, etc. Se fueron por las ramas, en trivialidades. Faltó contenido Don Alfonso y Presidente Lasso. 
@LassoGuillermo
 #Ecuador",,,1,18,21,[],https://twitter.com/Efuentesec/status/1433564271409971200
113,Garmo Click,@ClickGarmo,2021-09-02T21:16:06.000Z,"Esta noche, la  Selección Mexicana 
@miseleccionmx
   comenzará su camino rumbo a #Qatar2022. Tendrá su debut en las Eliminatorias #Concacaf, ante Jamaica en punto de las 9 de la noche.","ARRANCA TRI LAS ELIMINATORIAS RUMBO A QATAR 2022
Esta noche, la Selección Mexicana comenzará su camino rumbo a Qatar 2022. Tendrá su debut en las Eliminatorias Concacaf, ante Jamaica en punto de las 9 de la noche. Gerardo Martino ya tiene confirm...
garmoclick.com",,,,,['https://pbs.twimg.com/card_img/1433538959838257152/wiir-Qiw?format=jpg&name=small'],https://twitter.com/ClickGarmo/status/1433539254588788736
114,Jean,@Jean_7jene,2021-09-02T22:48:33.000Z,Goooooooool de mi país gooooool vamos  #Ecuador #Latri,,,,,1,[],https://twitter.com/Jean_7jene/status/1433562520359342082
115,Una Más y Te Expulso,@UmytexOficial,2021-09-02T20:57:29.000Z,"Alineaciones de
 Paraguay  y Ecuador 
#Qatar2022 
#EliminatoriasSudamericanas #EliminatoriasQatar2022",,,,,,"['https://pbs.twimg.com/media/E-TwFTuVEAY9zdN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TwFxoVIAEaRVv?format=jpg&name=360x360']",https://twitter.com/UmytexOficial/status/1433534567407919106
116,Gol de Oro,@GoldeororadioOK,2021-09-02T21:00:27.000Z,#EliminatoriasQatar2022 | ¡COMENZÓ EL PARTIDO! Ya juegan #Ecuador  - Paraguay .,,,1,1,1,['https://pbs.twimg.com/media/E-TvwLHVcBQmlEf?format=jpg&name=small'],https://twitter.com/GoldeororadioOK/status/1433535312781725697
117,𝔻𝕣. 𝕄𝕒𝕟𝕙𝕒𝕥𝕥𝕒𝕟,@jobet,2021-09-02T22:15:38.000Z,"Qué nivel el de Gaibor frente a Paraguay. 

#Ecuador",,🐚,,,1,['https://pbs.twimg.com/media/E-UB-tGVEAMNCMK?format=jpg&name=small'],https://twitter.com/jobet/status/1433554235778555904
118,Revista Infoguía Ecuador,@InfoguiaEcuador,2021-09-02T23:53:29.000Z,"#QUITO  y su belleza  #centrohistorico 
#quitoecuador  #quitoturismo",,,,,,['https://pbs.twimg.com/media/E-UYX8yX0AQydFS?format=jpg&name=small'],https://twitter.com/InfoguiaEcuador/status/1433578859304263684
119,Jostin Pereira,@JostinPereira3,2021-09-02T21:18:21.000Z,Reborn tendencia en Ecuador  #GraciasReborn por todo.,,✨,,,,['https://pbs.twimg.com/media/E-T03a2VcAQj4Qx?format=jpg&name=small'],https://twitter.com/JostinPereira3/status/1433539817527255047
120,EL 7 HIJOS,@Patocisneros_ec,2021-09-02T20:58:05.000Z,Vamos mi Ecuador del alma!!!  #LaTrixECDF,"The following media includes potentially sensitive content. Change settings
View",,,,1,[],https://twitter.com/Patocisneros_ec/status/1433534719451275265
